Organization name,GNBYA member?,Program name,Website,Ages or grades,Age min,Age max,Session dates,Hours,Cost,Address,Bus accessible?,Nearest bus route/stop,Staff language support,Translation available,Contact,Season,Description
Boys & Girls Club of New Bedford,Yes,Summer Fun Program,https://bgcnewbedford.org/programs/summer-fun-program-2/,Ages 7-13,7,13,Full summer: July 1 - Aug 28 (participate by week),9am - 4pm,$50 to join; $50/week,"166 Jenney Street, New Bedford",No,210 / Mill & Lindsay,,,Robert Mendes (rmendes@bgcnewbedford.org),summer,"A full-summer day program of games, sports, arts, and field trips, where kids are welcome to join week by week."
Buttonwood Park Zoo,Yes,ZooCrew,https://www.bpzoo.org/education-and-conservation/for-families/zoocrew/,Ages 10-12,10,12,No availabilities,9am - 4pm,$350/week,"425 Hawthorn Street, New Bedford, MA 02740",No,State Road Shaw's,,,Carolyn Doremus / cdoremus@bpzoo.org,summer,"A week-long zoo day camp where kids go behind the scenes to learn about animal care, conservation, and how the zoo runs."
Buzzards Bay Coalition,Yes,Onset Bay Center - Bay Explorers,https://www.savebuzzardsbay.org/about-us/our-centers-reserves/onset-bay-center/summer-camps/,Ages 8-13,8,13,Filled (no availability),8:30am - 4:00pm,$395/week,"114 Front Street, New Bedford, MA 02740",No,N/A,,,"Angie Weldon, weldon@savebuzzardsbay.org",summer,"A hands-on outdoor day camp on the water, exploring local marine life and the Buzzards Bay watershed through games and field science."
Buzzards Bay Coalition,Yes,Onset Bay Center - Sailing Camp,https://www.savebuzzardsbay.org/about-us/our-centers-reserves/onset-bay-center/summer-camps/,Ages 8-15,8,15,7/6 - 7/10 (2 spots),9:00am - 4:00pm,$395/week,"114 Front Street, New Bedford, MA 02740",No,N/A,,,"Angie Weldon, weldon@savebuzzardsbay.org",summer,"A learn-to-sail day camp on Onset Bay covering sailing basics, water safety, and coastal ecology."
Elements Learning Collaborative,No,Summer Nature Camp,https://www.elementslearning.org/summer,Ages 5-9,5,9,MiniBeasts (July 7-9); Tree ID (August 4-6),9am - 3pm,Tier 1 - $270; Tier 2 - $250; Tier 3 - $215,"Round the Bend Farm, 92 Allens Neck Road, Dartmouth MA 02748",No,N/A,,,admin@elementslearning.org,summer,"A farm-based nature camp with themed weeks - like bug study and tree identification - full of outdoor exploration and play at Round the Bend Farm."
Elements Learning Collaborative,No,Summer Adventure Camp,https://www.elementslearning.org/summer,Ages 9-13,9,13,Foraging (July 21-23); Nature Journals (August 4-6); Sculpting with Nature (August 11-13),9am - 3pm,Tier 1 - $270; Tier 2 - $250; Tier 3 - $215,"Round the Bend Farm, 92 Allens Neck Road, Dartmouth MA 02748",No,N/A,,,admin@elementslearning.org,summer,"An outdoor adventure camp with themed weeks in foraging, nature journaling, and sculpting with natural materials at a working farm."
New Bedford Art Museum,Yes,Makers Playground: Summer Art Program,https://newbedfordart.org/summerartprogram/,Grades 1-6,,,"Every session (starting June 16, ending week of 8/25)",9am - 1pm,$300/week ($270 for members),"608 Pleasant Street, New Bedford, MA 02740",No,Downtown terminal,,,"Ashlianna Felix, afelix@newbedfordart.org, 508-961-3072",summer,"A morning art camp where kids create hands-on projects across drawing, painting, and mixed media with museum teaching artists."
New Bedford Rowing Center,Yes,Ms. April's Home Camp,https://childsplayparentjoy.com,Ages 2-10,2,10,May - December (5 families every 6 weeks),,,,No,This does not apply as I provide home visits.,I'm supported by Google Translate,,"April Degbor, aprildegbor@comcast.net",year-round,"One-on-one, play-based learning delivered through in-home visits that build young children's early skills while coaching parents along the way."
"New Bedford Ballet Foundation, Inc.",Yes,Ballet Fairytales,https://www.newbedfordballet.org/ballet-fairytales-workshop,Ages 3-10,3,10,"Monday, July 13 to Friday, July 17 (5 slots)",8:45am - 12:30pm,$210,"2343 Purchase Street, New Bedford, MA 02746",No,208 Mt. Pleasant/Nauset OR 204 to Purchase/Sawyer,,,"Kelly Watkins, office@newbedfordballet.org",summer,"A story-themed ballet workshop where young dancers learn the basics of ballet through fairytale characters and creative movement."
"New Bedford Department of Parks, Recreation & Beaches",Yes,Kennedy Summer Day Program,https://www.newbedford-ma.gov/parks-recreation-beaches/kennedy-summer-day-program/,Ages 5-14 (CIT program for age 15),5,15,Session 1: June 29-July 10; Session 2: July 14-25; Session 3: July 27-Aug 7; Session 4: Aug 10-21,Mon-Fri 8am - 3pm,$280 (2-week session),"28 Union Street, New Bedford, MA 02740",Yes,,,,"Tj Thomas, Isidro.Thomas@newbedford-ma.gov / ksdp@newbedford-ma.gov",summer,"A city-run summer day camp with sports, games, and group activities across two-week sessions, plus a counselor-in-training track for 15-year-olds."
New Bedford Fishing Heritage Center,No,Something Fishy Summer Program,https://fishingheritagecenter.org/programs/vacation-programs/,3rd grade (entering 4th this fall),,,Session 1: July 13-17; Session 2: July 20-24; Session 3: July 27-31,9am - 3pm,Free,National Park's Corson Maritime Learning Center (33 William Street),No,Downtown terminal,,"Spanish, Cape Verdean Kriolu, Portuguese",programs@fishingheritagecenter.org,summer,"A free week-long program exploring New Bedford's fishing heritage and local marine life through hands-on, maritime-themed activities."
New Bedford Rowing Center,Yes,Juniors Summer Rowing,https://newbedfordrowing.org/youth/#summerprograms,Ages 12-18,12,18,July 6-18 (8 slots); July 20-Aug 1 (8 slots); Aug 3-15 (8 slots),"Mon-Thu 4:00-6:00pm, Sat 8:30-10:00am",$95/session,"102 Pope's Island Marina, New Bedford, MA 02740",No,Main St & Huttleston Ave (Rte 6),No,,"Jordan Seim, info@newbedfordrowing.org",summer,"A learn-to-row program on the water teaching rowing technique, teamwork, and water safety for teens."
Our Sisters' School,Yes,SPARK,https://forms.gle/ATe8g7AmU7zd9JLZ6,Rising 3rd & 4th grade girls,,,7/6-10 OR 7/27-31 (select one week),9am - 12pm,Free,"145 Brownell Avenue, New Bedford, MA 02740",No,Hawthorn at Rockdale,,"Spanish, Cape Verdean Kriolu","Tashianna Pires, tpires@oursistersschool.org, (508) 994-1255",summer,"A free summer enrichment week for rising 3rd- and 4th-grade girls, focused on confidence, creativity, and hands-on learning."
SketchyGOichie DRAW INC,Yes,SketchyGOichie DRAW: Digital Rendering & Art Workshops,https://sketchygoichie.net/draw,Ages 7+,7,,"Saturdays 6/20-8/29, no session 7/4 (10 slots)",4:00pm - 5:30pm,$30/session,"28 Union Street, New Bedford, MA 02740",No,Downtown terminal,,,"Abby Moreno, info@sketchygoichie.net",summer,"Weekly workshops teaching drawing and digital rendering, helping young artists build real illustration skills."
Youth Opportunities Unlimited,Yes,Explore Your Environment,https://www.younb.org/explore-your-environment,Ages 9-14,9,14,8/3-8/7 (PM): 2 spots left; waitlist open (email carrie@younb.org),9am - 12pm (PM session 1-3pm),Scholarships available,"224 Brock Avenue, New Bedford, MA 02744",No,201 Brock Ave & Coral,"Yes, Spanish",Spanish,"Carrie Hawthorne, carrie@younb.org",summer,"A hands-on environmental program where kids explore nature and science outdoors; scholarships are available."
