Organization name,Website,Min age,Max age,Grade levels served,Early education services,Youth development services,Program year,Program model,Cost,Registration,Transportation,Location,Schools served,Schedule,Description
3rd EyE Youth Empowerment,https://3rdeyeunlimited.org/,5,,Elementary; High; Middle; Out of School,,Mentoring/Leadership; Visual Arts/Performing Arts/Culture,Full Year,Full Day,Free,Drop In,Provided From Our Program Site To Home; Accessible From Public Transportation,NB Downtown;NB Northend;NB Westend;NB Southend,All,7 Days,"3rd EyE runs programming and events year round in our community incubator at 230 Union Street, as well as at parks, community centers, beaches, cultural institutions, youth serving partner orgs, etc. We serve all ages and are family-centric with a focus on 10-24 y.o."
Alma del Mar Charter Schools,https://www.almadelmar.org/,5,13,Elementary; Middle,Care School Age,,School Year,Full Day,Free,Application Required; Restricted Access,Provided To Our Site; Provided From Our Program Site To Home,NB Northend,All Elementary and Middle,Monday-Friday,"Alma del Mar's free application opens up in October each year, for the following school year. The application deadline is in February and the enrollment lottery is held on or by March 15th."
American Red Cross of Southeastern MA,https://www.redcross.org/local/massachusetts/about-us/locations/southeastern-massachusetts.html,,,,,Health Safety & Wellness,,,,,,,,,
Big Brothers Big Sisters of Eastern Massachusetts,https://www.emassbigs.org/,7,12,Elementary; Middle; High; Out of School,,Mentoring/Leadership,Full Year,Weekend Only; After School; Evening,Free,Application Required,Provided To Our Site,We are not a site-based program. Mentors pick up Mentees at their residences for outings,All,7 Days,"As a non-four wall program that takes place in the community, transportation is done by Bigs & Littles on their own schedules."
Boys & Girls Club of Greater New Bedford,https://bgcnewbedford.org/,7,18,Elementary; Middle; High,,Academic Achievement; Visual Arts/Performing Arts/Culture; Mentoring/Leadership; Sports/Recreation; Science/Nature; Vocational Readiness; Health Safety & Wellness,Full Year,After School; Evening,Fee,Application Required,Accessible From Public Transportation,NB Westend,All,Monday-Friday,
Buttonwood Park Zoo,https://www.bpzoo.org/,,,All Ages,Care School Age; Care Infant and Toddler; Care Preschool,Academic Achievement; Mentoring/Leadership; Science/Nature; Vocational Readiness,Full Year,Evening; Full Day,Free; Fee; Financial Assistance,Application Required; Drop In; Restricted Access,,NB Westend,All,7 Days,Information differs depending on whether families are interested in just visiting the Buttonwood Park Zoo versus if they would like to participate in programs.
Buzzards Bay Coalition,https://www.savebuzzardsbay.org/,8,17,Elementary; Middle; High,,Mentoring/Leadership; Sports/Recreation; Science/Nature,Full Year With Limited Winter Programs,After School; Full Day; Summer Only,Free; Slide Scale Based on Income; Fee; Financial Assistance,Application Required; Drop In,,"Onset, MA with drop-in programs and field trips in New Bedford and across the Buzzards Bay Watershed","NBPS and Sea Lab, Wareham Public Schools",Monday-Friday (Summer youth program); drop-in programs vary 7 days,Free Afterschool Clubs and Summer Youth Programs with scholarship available are at Onset Bay Center. Free Bay Adventures drop-in programs across the Buzzards Bay Watershed towns-see online calendar. Free outdoor learning field trips for NBPS students and community organizations.
"Child & Family Services, Inc.",https://www.cffutures.org/,,,,,Health Safety & Wellness; Mentoring/Leadership; Vocational Readiness; Mental Health Services,Full Year,,Free,Drop In,Provided To Our Site,NB Northend,,Monday-Friday,"Everyone is welcome. In addition to our outreach programs, we are available 24/7 for emergency mental health services."
Children's Advocacy Center of Bristol County,https://cacofbc.org/,2,18,All Ages,,Mental Health Services,Full Year,Full Day,Free,Restricted Access,,Fall River,All,Monday-Friday,"Facilitating forensic interviews for criminal child abuse cases, work closely with; Forensic Interviewing, Family Advocacy, Pediatric Nurse, Education & Prevention"
Childs Play Parent Joy,https://www.childsplayparentjoy.com/,0,10,Infant/Toddler; Elementary,Care Infant and Toddler; Care Preschool; Care School Age,,Full Year,Full Day,Slide Scale Based on Income,Application Required,,In Home & Site Based Service,Bristol County,7 days,www.childsplayparentjoy.com Supporting Children & Families Through Play-Based Learning Helping children ages 2-10 develop essential life skills while coaching parents to create meaningful connections through play-based interventions in your home or community.
"Community Boating Center, Inc.",https://www.communityboating.org/,5,,Elementary; Middle; High; Out of School,,Health Safety & Wellness; Mentoring/Leadership; Sports/Recreation,Summer,Partial Day; Full Day,Fee; Financial Assistance,Application Required,Provided To Our Site; Provided From Our Program Site To Home; Accessible From Public Transportation,NB Southend,All,Monday-Friday,"While we offer year round program, it is only our summer program that the general public can sign up for. Other programming is school or organization based."
Dennison Memorial Community Center,https://www.dennisoncommunity.org/,6,18,Elementary; Middle; High,Care School Age,Health Safety & Wellness; Academic Achievement; Mentoring/Leadership; Sports/Recreation,Full Year,After School,Free,Application Required,,NB Southend,"Congdon, DeValles, GLCPS, Gomes, Nativity Prep, NBHS, GNBRVTHS, Our Sisters School, Roosevelt Middle, Sea Lab, Taylor, Whaling City, Winslow",Monday-Friday,
Department of Community Services,https://www.newbedford-ma.gov/community-services/,8,10,Elementary,,Visual Arts/Performing Arts/Culture,School Year; School Holidays/ Breaks,Weekend Only; After School,Free,Application Required,,"NB Northend, NB Southend","Ashley, Campbell, Gomes, Lincoln, Parker, Rodman, Swift",Monday-Saturday,
Dream Out Loud Center,http://dreamoutloudcenter.org/,10,,Middle; High,,Academic Achievement; Visual Arts/Performing Arts/Culture; Mentoring/Leadership,Full Year,After School; Evening,Free,Application Required,Provided To Our Site; Provided From Our Program Site To Home; Accessible From Public Transportation,NB Southend,All Middle and High Schools,Tuesday-Thursday,
Good Company New Bedford,https://www.goodcompanynb.com/,14,,High; Out of School,,Health Safety & Wellness; Visual Arts/Performing Arts/Culture; Mentoring/Leadership; Vocational Readiness,Full Year,After School; Partial Day,Free; Financial Assistance,Application Required; Drop In,Provided To Our Site,NB Downtown,All High Schools,Monday-Friday,
Greater New Bedford Workforce Board,https://masshiregreaternewbedford.com/,,,,,,,,,,,,,,
Groundwork Southcoast,https://groundworksouthcoast.org/,11,,Middle; High; Out of School,,Health Safety & Wellness; Visual Arts/Performing Arts/Culture; Mentoring/Leadership; Science/Nature; Vocational Readiness,Full Year,After School; Partial Day; Full Day,Free,Application Required; Drop In,Provided To Our Site,NB Downtown,"All Middle, All High Schools, Bristol Agriculture",Monday-Friday,Employment Opportunities available at https://groundworksouthcoast.org/job-opportunities/
Junior Achievement of Southern MA,https://jasouthernma.org/,5,25,Elementary; Middle; High; Out of School,,Academic Achievement; Mentoring/Leadership,School Year,After School; Partial Day; Full Day,Free,Application Required; Drop In,Provided To Our Site,NB Downtown,,Monday-Friday,JA serves in the school premises. We also offer support to youth who are in need of additional support. We do run these other programs to support our local youth year round.
Kennedy Donovan Center,https://www.kdc.org/,,2,Infant/Toddler,Care Infant and Toddler,,Full Year,Full Day,Free,,,,,Monday-Friday,
Little People's College,https://www.littlepeoplescollege.com/,,12,Infant/Toddler; Pre-K; Elementary,Care Infant and Toddler; Care Preschool; Care School Age,,Full Year,Before School; After School; Full Day,Fee; Financial Assistance; Accepts Child Care Subsidies,Application Required,Provided To Our Site; Provided From Our Program Site To Home; Accessible From Public Transportation,"NB Northend, NB Westend, NB Southend","All Elementary, Acushnet Elementary & Dartmouth elementary schools",Monday-Friday,Our 6 centers are state licensed and nationally accredited.
