,,PLEASE CONTACT CAMP OR PROGRAM TO CONFIRM DETAILS OR AVAILABILITY. ,,,,,,,,,,,
Organization name,GNBYA member?,Summer camp or program name,Summer camp or program website to learn more,Ages or grades (by June 1),"Weeks/dates with availability
",Program hours,Cost,Location,Bus available,If no: nearest SRTA route or stop,Do you have staff who can support languages other than English? ,Contact for more information,Translation available?
Boys & Girls Club of New Bedford,Yes,Summer Fun Program,https://bgcnewbedford.org/programs/summer-fun-program-2/,Ages 7-13,Full summer: July 1 - Aug 28 (participate by week),9am - 4pm,$50 to join; $50/week,"166 Jenney Street, New Bedford",No,210 / Mill & Lindsay,,Robert Mendes (rmendes@bgcnewbedford.org),
Buttonwood Park Zoo,Yes,ZooCrew,https://www.bpzoo.org/education-and-conservation/for-families/zoocrew/,Ages 10-12 ,No Availabilities,9am – 4pm,$350/week,"425 Hawthorn Street, New Bedford, MA 02740",No,State Road Shaw's ,No,Carolyn Doremus / cdoremus@bpzoo.org,
Buzzards Bay Coalition,Yes,Onset Bay Center - Bay Explorers and Sailing Camps,https://www.savebuzzardsbay.org/about-us/our-centers-reserves/onset-bay-center/summer-camps/,"Bay Explorers: Ages 8-13, Sailing: Ages 8-15","Bay Explorers: filled


Sailing:
7/6-7/10 - 2 spots    ","Bay Explorers: 8:30am-4:00pm, Sailing: 9:00am-4:00pm",$395/week,"114 Front Street, New Bedford, MA 02740",No,N/A,,"Angie Weldon, weldon@savebuzzardsbay.org",
Elements Learning Collaborative,No,Summer Elements Nature Camp & Adventure Camp,https://www.elementslearning.org/summer,"Nature Camps: Ages 5-9
Adventure Camps: Ages 9-13","Nature Camps: 
MiniBeasts (July 7-9)
Tree ID (August 4-6)

Adventure Camps: 
Foraging (July 21-23)
Nature Journals (August 4-6)
Sculpting with Nature (August 11-13)
",9am-3pm,"Tier 1 - $270 
Tier 2 - $250
Tier 3 - $215","Round the Bend Farm, 92 Allens Neck Road, Dartmouth MA 02748",No,N/A,,admin@elementslearning.org,
New Bedford Art Museum,Yes,Makers Playground: Summer Art Program,https://newbedfordart.org/summerartprogram/,Grades 1-6,"Every session (starting June 16, ending week of 8/25)",9 am - 1 pm,$300/week ($270 for members),"608 Pleasant Street, New Bedford, MA 02740",No,Downtown terminal,,"Ashlianna Felix, afelix@newbedfordart.org, 508-961-3072",
New Bedford Rowing Center,Yes,Ms. April's Home Camp,https://childsplayparentjoy.com,Ages 2-10,May-December (scheduling ) 5 families every 6 weeks,,,,No,This does not apply as I provide home visits.,I'm supported by Google Translate,April Degbor    aprildegbor@comcast.net,
"New Bedford Ballet Foundation, Inc.",Yes,Ballet Fairytales,https://www.newbedfordballet.org/ballet-fairytales-workshop,3 to 10 yrs.,"Monday, July 13 to Friday, July 17 -- 5 slots",8:45 a.m. -- 12:30 p.m.,$210,"2343 Purchase Street, New Bedford, MA 02746",No,208 Mt. Pleasant/Nauset OR 204 to Purchase/Sawyer ,,Kelly Watkins -- office@newbedfordballet.org,
"New Bedford Department of Parks, Recreation & Beaches",Yes,Kennedy Summer Day program,https://www.newbedford-ma.gov/parks-recreation-beaches/kennedy-summer-day-program/,Ages 5-14 CIT program for age 15,"Session 1: June 29th-July 10th  Session 2: July 14th-25th  Session 3: July 27th-Aug. 7th  Session 4: Aug 10th-21st",Mon-Fri 8am-3pm,$280 (2-week session),"28 Union Street, New Bedford, MA 02740",Yes-included in fees,,,Tj Thomas-Isidro.Thomas@newbedford-ma.gov/ksdp@newbedford-ma.gov,
New Bedford Fishing Heritage Center,No,Something Fishy Summer Program,https://fishingheritagecenter.org/programs/vacation-programs/,3rd grade (entering 4th this fall),Session 1: July 13 through July 17  |  Session 2: July 20 through July 24  | Session 3: July 27 through July 31 ,9-3,Free,National Park’s Corson Maritime Learning Center (33 William Street),No,Downtown terminal,,programs@fishingheritagecenter.org,"Spanish, Cape Verdean Kriolu, Portuguese"
New Bedford Rowing Center,Yes,Juniors Summer Rowing,https://newbedfordrowing.org/youth/#summerprograms,Ages 12 - 18 ,"July 6 - 18 (8 slots) , July 20 - Aug 1 (8 slots), Aug 3 - 15 (8 slots)","Mon-Thur 4:00-6:00PM, Sat 8:30AM - 10:00AM",$95/session,"102 Pope's Island Marina, New Bedford, MA 02740",No,Main St & Huttleston Ave (Rte 6),No,"Jordan Seim, info@newbedfordrowing.org",
Our Sisters' School,Yes,SPARK,https://forms.gle/ATe8g7AmU7zd9JLZ6,Rising 3rd & 4th grade girls,7/6-10 OR 7/27-31 (select one week),9am - 12pm,Free,"145 Brownell Avenue, New Bedford, MA 02740",No,Hawthorn at Rockdale,,Tashianna Pires tpires@oursistersschool.org (508) 994-1255,"Spanish, Cape Verdean Kriolu"
SketchyGOichie DRAW INC,Yes,SketchyGOichie DRAW: Digital Rendering & Art Workshops,sketchygoichie.net/draw,Ages 7+,Saturdays from 6/20 to 8/29 *No session on 7/4* (10 slots) ,4:00PM - 5:30PM,$30/session,"28 Union Street, New Bedford, MA 02740",No,Downtown terminal,,Abby Moreno - info@sketchygoichie.net,
Youth Opportunities Unlimited,Yes,Explore Your Environment,https://www.younb.org/explore-your-environment,Ages 9 - 14,8/3 - 8/7 (PM): 2 spots left; WAITLIST OPEN: email carrie@younb.org,9am-12pm (PM 1-3),Scholarships Available,"224 Brock Avenue, New Bedford, MA 02744",No,201 Brock Ave & Coral,"Yes, Spanish",Carrie Hawthorne / Carrie@younb.org,Spanish
YMCA - Dartmouth,Yes,Camp Metacomet,https://ymcasouthcoast.org/programs/child-care-camps/summer-day-camp/,5-14,"Weekly sessions, 6/24-8/28 VERY Limited space","9-4, M-F",$365/session ($315 for members),"276 Gulf Road, Dartmouth, MA 02748",Yes,,,Rochelle Whalen | rwhalen@ymcasc.org,
YMCA - Mattapoisett,Yes,Camp Massasoit,https://ymcasouthcoast.org/programs/child-care-camps/summer-day-camp/,5-14,"Weekly sessions, 6/22-8/21","9-4, M-F",$365/session ($315 for members),"38 Reservation Road, Mattapoisett, MA 02739",Yes,,,Shayla McMullen | smcmullen@ymcasc.org,
YMCA - New Bedford,Yes,Camp Frederick Douglass,https://ymcasouthcoast.org/programs/child-care-camps/summer-day-camp/,7-13,"Weekly sessions, 6/30-8/21","7:30a - 5:30p, M-F",$365/session ($315 for members),"25 South Water Street, New Bedford, MA 02740",No,SRTA 204 (YMCA stop) or downtown terminal,,Kristin Jackson-Lee | kjackson-lee@ymcasc.org,
YWCA Southeastern Massachusetts,Yes,YWkids School Age Child Care Program,https://ywcasema.org/2026/04/ywkids-enrolling-for-summer-2/,Ages 5-13,Full summer: 6/30-8/28 (12 slots),"7:30 am - 5:30 pm, M-F",$44/day,"20 South Sixth Street, New Bedford, MA 02740",Yes,,,Katelyn Bindas | kbindas@ywcasema.org,
